pos,word
a,episkopálny
a,bizarný
a,výstredný
a,zvláštny
a,cudzí
a,excentrický
a,divný
a,podivný
a,neobvyklý
a,extravagantný
a,bledý
a,nevýrazný
a,poblednutý
a,sinavý
a,mdlý
a,nastávajúci
a,plánovaný
a,budúci
a,blízko
a,blízky
a,dôverný
a,intímny
a,úzky
a,neďaleký
a,príbuzný
a,pokrvný
a,spriaznený
a,bočný
a,zastrčený
a,opustený
a,militantný
a,útočný
a,bojový
a,akcieschopný
a,vojnový
a,vojenský
a,bojujúci
a,súperiaci
a,boľavý
a,bolestivý
a,ubolený
a,bosniansky
a,bosý
a,božský
a,ambróziový
a,lahodný
a,nektárový
a,bradavičnatý
a,bratský
a,bronzový
a,ohromný
a,desivý
a,strašný
a,perfektný
a,bujný
a,hojný
a,bohatý
a,prehnaný
a,bulharský
a,búrlivý
a,zúrivý
a,buržoázny
a,malomeštiacky
a,provinčný
a,snobský
a,bystrý
a,múdry
a,chytrý
a,prezieravý
a,dôvtipný
a,šikovný
a,chápavý
a,učenlivý
a,bývalý
a,niekdajší
a,predchádzajúci
a,dávny
a,byzantský
a,bzučiaci
a,čakajúci
a,čarovný
a,kúzelný
a,očarujúci
a,celibátny
a,slobodný
a,celkový
a,celodenný
a,celoplošný
a,globálny
a,celoročný
a,celoštátny
a,celosvetový
a,svetový
a,celoživotný
a,celý
a,celučičký
a,úplný
a,kompletný
a,totálny
a,cenený
a,cenný
a,drahocenný
a,vzácny
a,centrálny
a,najvnútornejší
a,najintímnejší
a,ceruminózny
a,mazovitý
a,červovitý
a,červivý
a,čestný
a,poctivý
a,spravodlivý
a,solídny
a,vážny
a,slušný
a,úprimný
a,priamy
a,riadny
a,chápadlovitý
a,tykadlovitý
a,charakteristický
a,typický
a,príznačný
a,osobitý
a,charizmatický
a,chatovitý
a,chemický
a,chirurgický
a,operačný
a,operatívny
a,studený
a,chlpatý
a,vlasatý
a,ochlpený
a,chorvátsky
a,chorý
a,nemocný
a,krytý
a,chrastavý
a,chrastovitý
a,chronický
a,chrumkavý
a,krehký
a,chudobný
a,úbohý
a,chudý
a,skromný
a,tenký
a,chutný
a,chýbajúci
a,nezvestný
a,chybný
a,poškodený
a,pokazený
a,defektný
a,cigánsky
a,rómsky
a,cik-cak
a,kľukatý
a,cirkadiánny
a,denný
a,cisársky
a,kráľovský
a,vladársky
a,panovnícky
a,čistučký
a,nepoškvrnený
a,čistý
a,jasný
a,vkusný
a,estetický
a,uhladený
a,upravený
a,citlivý
a,citový
a,emocionálny
a,citrónový
a,citrusový
a,civilizovaný
a,kultúrny
a,kultivovaný
a,vyberaný
a,civilný
a,colný
a,neznámy
a,zahraničný
a,ďaleký
a,vzdialený
a,ďalší
a,nasledovný
a,prídavný
a,pomocný
a,dodatočný
a,dánsky
a,starodávny
a,daždivý
a,upršaný
a,dcérsky
a,dedičný
a,dediteľný
a,fakticky
a,definitívny
a,konečný
a,nemenný
a,definovaný
a,vymedzený
a,demografický
a,demokratický
a,démonický
a,šialený
a,diabolský
a,posadnutý
a,deravý
a,pórovitý
a,porézny
a,desný
a,hrozný
a,odporný
a,hnusný
a,deštruktívny
a,ničivý
a,škodlivý
a,detailný
a,podrobný
a,detský
a,detinský
a,diaľkový
a,ďalekonosný
a,medzimestský
a,dialógový
a,diecézny
a,digitálny
a,diplomatický
a,disciplinárny
a,poriadkový
a,prísny
a,diskutabilný
a,diskusný
a,sporný
a,distribučný
a,rozdeľovací
a,distributívny
a,rozdeľujúci
a,úporný
a,výrazný
a,dlhodobý
a,dlhoročný
a,dlhotrvajúci
a,dlhoveký
a,zakorenený
a,odolný
a,trvanlivý
a,stály
a,dlhohrajúci
a,dnešný
a,moderný
a,dobrodružný
a,dobrovoľný
a,neplatený
a,dobrý
a,dočasný
a,výpomocný
a,provizórny
a,núdzový
a,dochvíľny
a,presný
a,dohodnutý
a,dojemný
a,dojímavý
a,dokonalý
a,dokončený
a,finálny
a,dokumentárny
a,dolný
a,spodný
a,domáci
a,domový
a,interný
a,národný
a,vnútorný
a,náš
a,zdomácnený
a,domestikovaný
a,domnelý
a,putatívny
a,zdanlivý
a,predpokladaný
a,údajný
a,doplnkový
a,doplňujúci
a,komplementárny
a,dopoludnia
a,doprevádzaný
a,doručiteľný
a,dosiahnutý
a,dôsledný
a,logický
a,usporiadaný
a,konzistentný
a,dospelý
a,plnoletý
a,dospievajúci
a,mladistvý
a,mladý
a,dostatočný
a,značný
a,postačujúci
a,dôstojný
a,ctihodný
a,veľavážený
a,dotknutý
a,dotyčný
a,zapletený
a,dôveryhodný
a,spoľahlivý
a,autentický
a,uveriteľný
a,dovolený
a,dozorný
a,kontrolný
a,drahý
a,nákladný
a,dramatický
a,pôsobivý
a,veľkolepý
a,dramaturgický
a,dravý
a,vlčí
a,drevený
a,neprirodzený
a,drobivý
a,mrvivý
a,drobný
a,maličký
a,nepatrný
a,malý
a,banálny
a,triviálny
a,drsný
a,hrboľatý
a,hrubý
a,neotesaný
a,nemotorný
a,ťarbavý
a,spustnutý
a,neohrabaný
a,ťažkopádny
a,neforemný
a,ťažký
a,druhotriedny
a,druhoradý
a,podradný
a,družný
a,vľúdny
a,priateľský
a,dubový
a,duchovný
a,cirkevný
a,labilný
a,pomätený
a,dusný
a,sparný
a,dvojročný
a,bienálny
a,dvojtvárny
a,falošný
a,pokrytecký
a,ľstivý
a,dýchací
a,výdychový
a,expiratórny
a,dychtivý
a,smädný
a,chtivý
a,dynamický
a,energický
a,dysforický
a,nešťastný
a,džungľovitý
a,efektívny
a,účinný
a,spôsobilý
a,egyptský
a,ekonomický
a,hospodársky
a,úsporný
a,ekumenický
a,ekvivalentný
a,rovnocenný
a,rovný
a,elegantný
a,štýlový
a,módny
a,exkluzívny
a,elektrický
a,elektronegatívny
a,záporný
a,elektronický
a,elektrostatický
a,statický
a,elementárny
a,podstatný
a,elitársky
a,klubový
a,elitný
a,vyvolený
a,emblematický
a,symbolický
a,entuziastický
a,zanietený
a,nadšený
a,horlivý
a,environmentálny
a,etický
a,morálny
a,mravný
a,eukaryotický
a,európsky
a,evanjelický
a,protestantský
a,existenciálny
a,existenčný
a,existujúci
a,jestvujúci
a,exotický
a,cudzokrajný
a,experimentálny
a,odpozorovaný
a,pokusný
a,skúšobný
a,exportovateľný
a,vývozný
a,exportný
a,expresný
a,rýchlikový
a,externý
a,vonkajší
a,povrchový
a,extra
a,nadbytočný
a,zvyšný
a,prebytočný
a,extrémistický
a,radikálny
a,ezoterický
a,tajný
a,faktický
a,nepravý
a,umelý
a,fanatický
a,prihorlivý
a,prepiaty
a,fantastický
a,náramný
a,obrovský
a,impozantný
a,kolosálny
a,strhujúci
a,farbený
a,odfarbený
a,zafarbený
a,farebný
a,farmaceutický
a,farský
a,obecný
a,fašistický
a,fatalistický
a,federálny
a,spolkový
a,filmový
a,filozofický
a,finančný
a,peňažný
a,financovaný
a,fínsky
a,fiškálny
a,majetkový
a,fixný
a,forte
a,silno
a,hlasno
a,fosílny
a,fotografický
a,fotogenický
a,fotosenzitívny
a,francúzsky
a,funkčný
a,fungujúci
a,pôsobiaci
a,použiteľný
a,fylogenetický
a,fyzický
a,fyzikálny
a,fyziologický
a,galantný
a,vznešený
a,ušľachtilý
a,majestátny
a,galvanický
a,gangrenózny
a,sneťový
a,genetický
a,génový
a,geografický
a,zemepisný
a,geologický
a,geometrický
a,grafický
a,gramatický
a,správny
a,pravopisný
a,grécky
a,helenistický
a,groteskný
a,smiešny
a,fraškovitý
a,hádavý
a,hašterivý
a,škriepny
a,zanovitý
a,neústupčivý
a,hanlivý
a,osočujúci
a,neslušný
a,sprostý
a,oplzlý
a,vulgárny
a,historický
a,hladký
a,hodvábny
a,mäkký
a,jemný
a,lesklý
a,nežný
a,hladný
a,hlasný
a,hlučný
a,hlasový
a,hlavný
a,dominantný
a,väčší
a,významný
a,základný
a,hlboký
a,hlinený
a,hliníkový
a,hlúpy
a,nechápavý
a,tupý
a,zadubený
a,obmedzený
a,pochabý
a,idiotský
a,stupídny
a,neinteligentný
a,nudný
a,pomalý
a,nedôvtipný
a,hmlový
a,hmlistý
a,zahmlený
a,nejasný
a,hmotný
a,materiálny
a,hmatateľný
a,hnedý
a,odpudzujúci
a,ohavný
a,príšerný
a,hodinový
a,hodnotený
a,odstupňovaný
a,rozvrstvený
a,hodnotiaci
a,užitočný
a,poriadny
a,hodný
a,primeraný
a,štedrý
a,výdatný
a,plodný
a,holandský
a,holičský
a,holý
a,číry
a,prostý
a,lisý
a,nahý
a,homosexuálny
a,horizontálny
a,vodorovný
a,horký
a,trpký
a,horný
a,náhorný
a,vyšší
a,horský
a,hornatý
a,vrchovitý
a,horúci
a,nový
a,hotový
a,rutinný
a,štandardný
a,ukončený
a,zrealizovaný
a,hovoriaci
a,rozprávajúci
a,hovorený
a,hovorový
a,hranatý
a,zavalitý
a,hraničný
a,okrajový
a,pochybný
a,neurčitý
a,hrateľný
a,hŕba
a,kopa
a,hrbatý
a,hrdinský
a,hriešny
a,hrešiaci
a,skazený
a,hrmotný
a,hromadný
a,kolektívny
a,spoločný
a,neznesiteľný
a,neokrôchaný
a,necitlivý
a,nespracovaný
a,hubový
a,hubovitý
a,hudobný
a,humanitárny
a,dobročinný
a,hustý
a,hviezdnatý
a,hviezdny
a,astrálny
a,hygienický
a,hypnoidný
a,hypochondrický
a,chorľavý
a,hypotetický
a,identický
a,jednovaječný
a,rovnaký
a,nerozoznateľný
a,zhodný
a,ideografický
a,ideologický
a,ilegálny
a,nezákonný
a,protizákonný
a,zakázaný
a,imaginárny
a,neskutočný
a,pomyselný
a,impulzívny
a,splašený
a,prenáhlený
a,imunitný
a,imúnny
a,indiánsky
a,indický
a,indoorový
a,izbový
a,inflačný
a,informatívny
a,informačný
a,informovaný
a,inštitucionálny
a,integračný
a,integrovaný
a,jednotný
a,začlenený
a,včlenený
a,silný
a,sýty
a,neformálny
a,sexuálny
a,intoxikačný
a,toxický
a,jedovatý
a,intrigánsky
a,prefíkaný
a,iný
a,ostatný
a,druhý
a,opačný
a,iránsky
a,perzský
a,ironický
a,posmešný
a,islamský
a,moslimský
a,istý
a,zaručený
a,izolovaný
a,oddelený
a,vyčlenený
a,izotermický
a,izotermný
a,izraelský
a,jadrový
a,atómový
a,nukleárny
a,japonský
a,pestrý
a,vyložený
a,jednoznačný
a,samozrejmý
a,jazdecký
a,jazykový
a,jazykovedný
a,jeden
a,jedna
a,jednotka
a,jedinečný
a,neopakovateľný
a,špecifický
a,neobyčajný
a,jedlý
a,požívateľný
a,jednoročný
a,ročný
a,každoročný
a,jednostranný
a,unilaterálny
a,homogénny
a,jednotvárny
a,fádny
a,všedný
a,pokojný
a,jednovýznamový
a,nesporný
a,jemnučký
a,delikátny
a,hebký
a,vlnený
a,česaný
a,juhovýchodný
a,juhovýchod
a,juhozápadný
a,juhozápad
a,juniorský
a,mladší
a,nižší
a,justičný
a,súdny
a,právnický
a,južanský
a,južný
a,kalichový
a,kalichovitý
a,kališný
a,kalný
a,špinavý
a,nečistý
a,kamenný
a,kamenistý
a,skalnatý
a,kanadský
a,kanonizovaný
a,blahoslavený
a,blahorečený
a,kapitalistický
a,katalektický
a,neúplný
a,katastrálny
a,katastrofálny
a,katolícky
a,každodenný
a,dennodenný
a,obvyklý
a,keramický
a,kladný
a,plusový
a,pozitívny
a,klamný
a,iluzórny
a,formálny
a,slávnostný
a,kláštorný
a,kláštornícky
a,rehoľný
a,zostupný
a,klimatický
a,kľúčový
a,dôležitý
a,najdôležitejší
a,najpodstatnejší
a,ústredný
a,kmeňový
a,kňazský
a,kockovaný
a,károvaný
a,pepita
a,kockovitý
a,kubický
a,koexistenčný
a,koherentný
a,rozumný
a,koketný
a,flirtujúci
a,záletný
a,družstevný
a,kolikový
a,kolonizovaný
a,obývaný
a,nesmierny
a,ohromujúci
a,kombinovaný
a,spojený
a,komerčný
a,obchodný
a,ziskový
a,kompetentný
a,komplexný
a,komplikovaný
a,zložitý
a,komunálny
a,komunikačný
a,komunikatívny
a,komunistický
a,koncepčný
a,abstraktný
a,pojmový
a,posledný
a,kongenerický
a,kongestívny
a,konkrétny
a,konský
a,konštruktívny
a,kontinentálny
a,kontrolovaný
a,kontrolovateľný
a,ovládateľný
a,prístupný
a,konzervačný
a,ochranný
a,kórejský
a,korenistý
a,okorenený
a,korenený
a,pikantný
a,korupčný
a,kostolný
a,kovový
a,metalický
a,metalizovaný
a,kozmetický
a,kozmický
a,vesmírny
a,kožný
a,dermálny
a,krajský
a,oblastný
a,kráľovnin
a,krásny
a,okúzľujúci
a,ľúby
a,krátkodobý
a,prchavý
a,kreatívny
a,chatrný
a,štíhly
a,riedky
a,kresťanský
a,kriminálny
a,trestuhodný
a,zločinný
a,krivý
a,vykrivený
a,naklonený
a,krížový
a,skrížený
a,prekrížený
a,krovinatý
a,kríkovitý
a,kríčkovitý
a,krstný
a,kruhový
a,cyklický
a,pravidelný
a,krvavý
a,krvný
a,kuchársky
a,kulinársky
a,etnický
a,kuriózny
a,nezvyčajný
a,kvalifikovaný
a,certifikovaný
a,osvedčený
a,odborný
a,študovaný
a,kvalitatívny
a,kvalitný
a,akostný
a,kvantový
a,kvitnúci
a,prosperujúci
a,úspešný
a,triumfálny
a,prekvitajúci
a,veselý
a,bujarý
a,kyslý
a,lacný
a,+ľadový
a,+mrazivý
a,ľadový
a,mrazivý
a,spratný
a,ľahký
a,ľahostajný
a,nedbalý
a,nevšímavý
a,nepozorný
a,svetský
a,lajdácky
a,neporiadny
a,diletantský
a,zvodný
a,láskavý
a,priaznivý
a,latinský
a,legálny
a,povolený
a,právny
a,legendárny
a,povestný
a,legislatívny
a,poslanecký
a,zákonodarný
a,legitímny
a,lekársky
a,liečivý
a,medicínsky
a,lemovaný
a,ohraničený
a,lenivý
a,nečinný
a,lepší
a,najlepší
a,lesnatý
a,lesný
a,letný
a,vrchný
a,kolineárny
a,plazivý
a,liberálny
a,slobodomyseľný
a,tolerantný
a,liečebný
a,nápravný
a,alternatívny
a,hojivý
a,limitovaný
a,listový
a,epištolárny
a,literárny
a,liturgický
a,lodný
a,námornícky
a,odôvodnený
a,ľúbiaci
a,milujúci
a,láskyplný
a,oddaný
a,ľubovoľný
a,arbitrárny
a,subjektívny
a,ľudský
a,humanitný
a,humánny
a,lúpežný
a,luxusný
a,prepychový
a,lyrický
a,maďarský
a,magický
a,magnetický
a,zmagnetizovaný
a,zmagnetizovateľný
a,majstrovský
a,virtuózny
a,rumenný
a,makroekonomický
a,malinký
a,máloktorý
a,niekoľký
a,niektorý
a,zopár
a,málopodlažný
a,nízky
a,+malý
a,vreckový
a,nedôležitý
a,manažérsky
a,vedúci
a,správcovský
a,manželský
a,zosobášený
a,mariánsky
a,márny
a,neplatný
a,nekvalitný
a,masívny
a,súvislý
a,mastný
a,olejnatý
a,zamastený
a,olejový
a,matematický
a,číselný
a,numerický
a,materiálový
a,reálny
a,skutočný
a,materinský
a,materský
a,maximálny
a,najvyšší
a,najväčší
a,maximový
a,mechanický
a,medený
a,medúzovitý
a,medziľudský
a,+medzinárodný
a,medzištátny
a,melodický
a,medový
a,sladký
a,muzikálny
a,menčestrový
a,keprový
a,striedajúci
a,menlivý
a,nestály
a,vrtkavý
a,premenlivý
a,menovaný
a,nominovaný
a,mentálny
a,duševný
a,rozumový
a,merateľný
a,porovnateľný
a,mesačný
a,meštiacky
a,mestský
a,meštiansky
a,urbanistický
a,metodický
a,mierny
a,apatický
a,vyrovnaný
a,pokorný
a,zdržanlivý
a,striedmy
a,zhovievavý
a,mierový
a,mierumilovný
a,nenásilný
a,miliardový
a,miliónový
a,milosrdný
a,milostivý
a,dobrotivý
a,milovaný
a,milý
a,sympatický
a,roztomilý
a,ľúbezný
a,mimoriadny
a,špeciálny
a,minerálny
a,nerastný
a,minerálový
a,miniatúrny
a,trpasličí
a,minimálny
a,najmenší
a,ministerský
a,misijný
a,mizerný
a,naničhodný
a,potvorský
a,čertovský
a,+prekliaty
a,zatratený
a,nedospelý
a,čulý
a,mladícky
a,mliečny
a,mnohonásobný
a,početný
a,rozmanitý
a,rozličný
a,mnohoraký
a,všelijaký
a,mnohostranný
a,mobilný
a,pohyblivý
a,pohybujúci
a,mocný
a,močový
a,hypermoderný
a,efektný
a,vzorovaný
a,modrý
a,mokrý
a,vlhký
a,monotónny
a,moravský
a,morový
a,nákazlivý
a,zhubný
a,morský
a,námorný
a,navigačný
a,plavebný
a,+morský
a,prímorský
a,motivačný
a,motivovaný
a,motorový
a,motorický
a,hybný
a,mozgový
a,cerebrálny
a,možný
a,eventuálny
a,prípadný
a,potenciálny
a,mramorový
a,mramorovaný
a,decentný
a,mŕtvolný
a,strašidelný
a,mátožný
a,pohrebný
a,ponurý
a,mŕtvy
a,zomretý
a,mrzutý
a,nevľúdny
a,podráždený
a,nervózny
a,ufrfľaný
a,hundravý
a,nevrlý
a,rozladený
a,mutantný
a,mužný
a,mužský
a,chlapský
a,statočný
a,mylný
a,nesprávny
a,myslený
a,teoretický
a,myšlienkový
a,ideový
a,ideálny
a,mysliteľný
a,mystický
a,nacionalistický
a,nacistický
a,národnosocialistický
a,národno-socialistický
a,nádejný
a,pravdepodobný
a,sľubný
a,nádherný
a,znamenitý
a,nadľudský
a,gigantický
a,obrovitý
a,obrí
a,mamutí
a,nadnárodný
a,mnohonárodný
a,mnohonárodnostný
a,nadprirodzený
a,vzrušený
a,excitovaný
a,nepredvídaný
a,nečakaný
a,neočakávaný
a,nahnevaný
a,rozzúrený
a,iritujúci
a,zlostný
a,rozhorčený
a,náhodný
a,neplánovaný
a,náhradkový
a,náhradný
a,odhalený
a,naivný
a,nerealistický
a,neskúsený
a,prostoduchý
a,nájazdový
a,nájdený
a,nájomný
a,prenajímateľný
a,najviac
a,väčšina
a,najzadnejší
a,najvzdialenejší
a,prenosný
a,infekčný
a,šikmý
a,vychýlený
a,nakrájaný
a,pokrájaný
a,nasekaný
a,posekaný
a,naliehavý
a,nástojčivý
a,neodkladný
a,súrny
a,pridelený
a,namáhavý
a,náročný
a,vysiľujúci
a,neľahký
a,vyčerpávajúci
a,únavný
a,napadnuteľný
a,nápadný
a,očividný
a,napätý
a,nedočkavý
a,túžiaci
a,žiadostivý
a,napchatý
a,plný
a,napínavý
a,napísaný
a,naplánovaný
a,premyslený
a,naplnený
a,+plný
a,vyplnený
a,napnutý
a,natiahnutý
a,pevný
a,napodobňujúci
a,imitujúci
a,predstieraný
a,hraný
a,uprostred
a,polovičný
a,narastajúci
a,rastúci
a,nárazový
a,národnostný
a,násilný
a,nasledujúci
a,následný
a,navrhnutý
a,úmyselný
a,zámerný
a,neakreditovaný
a,nepovolený
a,nedovolený
a,neartikulovaný
a,nezrozumiteľný
a,nevýslovný
a,nebeský
a,nebezpečný
a,riskantný
a,hazardný
a,rizikový
a,neblahý
a,zlovestný
a,zlý
a,hrozivý
a,skazonosný
a,nebohý
a,nečestný
a,neférový
a,nepoctivý
a,nespravodlivý
a,bezcharakterný
a,nechránený
a,nechutný
a,neprijateľný
a,nepríjemný
a,nečitateľný
a,nerozlúštiteľný
a,nedávny
a,nedefinovateľný
a,neurčiteľný
a,nedeliteľný
a,nedeľný
a,sviatočný
a,nedocenený
a,pubertiacky
a,neprimeraný
a,neefektívny
a,neschopný
a,nevýkonný
a,neúčinný
a,nefalšovaný
a,nepredstieraný
a,naozajstný
a,pravý
a,nenútený
a,neobradný
a,nekonvenčný
a,ľahkomyseľný
a,bezstarostný
a,neoficiálny
a,nehmotný
a,nereálny
a,nepodstatný
a,nehybný
a,+statický
a,zmrazený
a,neistý
a,nepredvídateľný
a,pochybujúci
a,matný
a,šerý
a,nekonkrétny
a,nekompetentný
a,nekvalifikovaný
a,nespôsobilý
a,nekompromisný
a,nekonečný
a,neobmedzený
a,zdĺhavý
a,večný
a,nelegálny
a,nelogický
a,iracionálny
a,neľudský
a,brutálny
a,chladnokrvný
a,neľútostný
a,nemanželský
a,nemecký
a,nemilý
a,nedobrý
a,nemodifikovaný
a,nezmenený
a,nemožný
a,nepredstaviteľný
a,nemý
a,onemený
a,nenápadný
a,samotársky
a,uzavretý
a,tajnostkársky
a,nenáročný
a,nenarodený
a,nejestvujúci
a,nenásytný
a,majetnícky
a,zištný
a,hrabivý
a,neukojiteľný
a,neprekonateľný
a,neoblomný
a,neústupný
a,nebojazlivý
a,nezmerateľný
a,nezmerný
a,bezhraničný
a,bezmedzný
a,čudný
a,podivuhodný
a,neokrídlený
a,bezkrídly
a,neoperený
a,neopotrebovaný
a,neo-
a,neoriginálny
a,otrepaný
a,neovplyvnený
a,nedotknutý
a,nedojatý
a,neovplyvniteľný
a,nepodliehajúci
a,nenáchylný
a,malicherný
a,nehonorovaný
a,neplnoletý
a,nepochopiteľný
a,nepresný
a,nepodarený
a,nevydarený
a,neúspešný
a,nepodpísaný
a,nepokojný
a,neposedný
a,netrpezlivý
a,neporovnateľný
a,bezkonkurenčný
a,nevídaný
a,výnimočný
a,nepotrebný
a,zbytočný
a,bezcenný
a,nepoučený
a,nepravdepodobný
a,neuveriteľný
a,nepravdivý
a,nepravidelný
a,neprekonaný
a,nepremastiteľný
a,nepremostiteľný
a,nepreklenuteľný
a,nepremožiteľný
a,nepretržitý
a,ustavičný
a,neprestajný
a,nepriamy
a,nepriateľský
a,nepriaznivý
a,neprajný
a,nepríhodný
a,neakceptovateľný
a,trápny
a,chúlostivý
a,nevhodný
a,neprípustný
a,neprítomný
a,nerovný
a,nerozhodnutý
a,váhavý
a,nerozhodný
a,nedoriešený
a,neuzavretý
a,nerozumný
a,pojašený
a,nervový
a,popudlivý
a,nabrúsený
a,-nezamestnateľný
a,neškodný
a,neskorší
a,neskorý
a,necvičený
a,nevyskúšaný
a,nepoužitý
a,nevyužitý
a,nemiestny
a,netaktný
a,špatný
a,obscénny
a,nemravný
a,krajný
a,extrémny
a,nesmrteľný
a,nespočetný
a,nespočítateľný
a,nespokojný
a,nekorektný
a,neoprávnený
a,neštandardný
a,ohrdnutý
a,osudný
a,nestráviteľný
a,netradičný
a,nefungujúci
a,necelý
a,neustály
a,neutíchajúci
a,nehynúci
a,neutrálny
a,inertný
a,nereagujúci
a,skvelý
a,úžasný
a,neveľký
a,neveriaci
a,ateistický
a,nehorázny
a,neželaný
a,nežiadúci
a,nevítaný
a,nevidený
a,neviditeľný
a,nepozorovaný
a,nezbadateľný
a,nevediaci
a,nevyhnutný
a,nevýhodný
a,nevyhovujúci
a,nevýnosný
a,nerentabilný
a,pochmúrny
a,šedivý
a,nezabudnuteľný
a,nezamestnaný
a,nezaplatený
a,splatný
a,dlžný
a,nezasadený
a,nezasvätený
a,nezaujatý
a,objektívny
a,nezávidiaci
a,ochotný
a,srdečný
a,+sebestačný
a,nežidovský
a,nepoznaný
a,nezodpovedný
a,nespoľahlivý
a,nešikovný
a,popletený
a,zasnený
a,roztržitý
a,pozoruhodný
a,zriedkavý
a,nezvyklý
a,nížinatý
a,nižný
a,nočný
a,noetický
a,racionálny
a,nominálny
a,nórsky
a,nosný
a,+nosný
a,nosový
a,novinársky
a,žurnalistický
a,nulitný
a,prázdny
a,nulový
a,nútený
a,neúprimný
a,nutný
a,potrebný
a,občasný
a,epizodický
a,príležitostný
a,občiansky
a,obdivuhodný
a,samosprávny
a,cirkulačný
a,obežný
a,objasňujúci
a,poučný
a,nestranný
a,zamrznutý
a,okresný
a,obľúbený
a,preferovaný
a,prioritný
a,obnovený
a,oboznámený
a,skúsený
a,zabehnutý
a,obradný
a,obranný
a,defenzívny
a,obraňujúci
a,ospravedlňujúci
a,obrátený
a,doluznačky
a,+obrazový
a,obrázkový
a,kreslený
a,obrnený
a,veľký
a,pozývajúci
a,soľonosný
a,soľotvorný
a,soľnonosný
a,uhlíkový
a,uhoľný
a,uhličitý
a,obšírny
a,rozvláčny
a,rozťahaný
a,obývateľný
a,obytný
a,oceľový
a,ochabnutý
a,ochablý
a,poddajný
a,pripravený
a,pohotový
a,úslužný
a,octový
a,pracovný
a,profesionálny
a,technický
a,odborový
a,úsekový
a,prezradený
a,odhodlaný
a,zaťatý
a,nedobytný
a,nezdolateľný
a,netrieštivý
a,odpudivý
a,odradzujúci
a,varovný
a,výstražný
a,osudový
a,oduševnený
a,odvážny
a,statný
a,smelý
a,udatný
a,odvetný
a,odvodený
a,nepôvodný
a,odvolací
a,odvolaný
a,zrušený
a,odvolateľný
a,diverzný
a,odvrhnutý
a,vyhnaný
a,vypudený
a,ofenzívny
a,výbojný
a,oficiálny
a,mrzký
a,otrasný
a,protivný
a,ohnivý
a,rozprávkový
a,báječný
a,ohrozený
a,ohybný
a,pružný
a,flexibilný
a,prispôsobivý
a,okamžitý
a,bezprostredný
a,rýchly
a,okolitý
a,okrúhly
a,olivový
a,olivovozelený
a,olympijský
a,olympský
a,oneskorený
a,opozdený
a,pozdný
a,meškajúci
a,protikladný
a,protichodný
a,opatrný
a,pozorný
a,všímavý
a,starostlivý
a,rozvážny
a,obozretný
a,ostražitý
a,operný
a,opitý
a,spitý
a,opilecký
